84017,83200,1376
97745,96962,1343
97745,98763,717
97745,101308,825
111173,82802,1642
111173,115149,1493
192510,163913,1548
192510,165923,754
284263,255832,1734
284263,260145,1409
343612,315392,1544
343612,317441,566
343612,319949,906
369838,288556,1118
383442,302194,1119
383442,304162,759
383442,305972,1128
417826,336442,1394
417826,339637,792
468841,387400,1403
468841,390102,625
534238,321221,1660
534238,457048,987
558843,345934,1455
558843,347996,745
558843,350114,1382
582581,369415,1894
675792,275306,1505
675792,465377,548
675792,466606,1951
729206,221938,1516
729206,332093,1958
773014,265623,1708
773014,268413,722
791426,246436,1746
791426,287717,1209
850420,305619,1345
850420,307428,964
850420,308537,1597
882824,337987,1132
977913,432916,1754
977913,435612,634
977913,436701,916
1025180,385119,1369
1025180,484620,585
1069329,340589,1561
1069329,431757,857
1165170,436541,1559
1165170,440901,1639
1186512,458085,1174
1186512,460574,541
1186512,461477,1938
1230200,501450,1794
1284897,446181,1554
1284897,558469,530
1284897,560394,1216
1359512,520527,1590
1359512,524671,884
1382166,543034,1702
1382166,545249,982
1466702,457920,1452
1466702,631921,613
1533589,390825,1315
1533589,526947,950
1533589,529177,803
1565555,359011,1557
1597913,391198,1697
1597913,393302,616
1597913,395743,1796
1637722,431038,1485
1637722,435440,620
1681647,386195,1593
1681647,476997,774
1778530,483164,1594
1778530,487807,1529
1872542,577389,1253
1872542,579308,878
1872542,580443,1663
1894867,599827,1113
1962911,531090,1201
1962911,669521,712
1962911,670661,1184
2023492,470353,1715
2023492,596239,1597
2080420,527272,1764
2080420,529503,626
2151969,455222,1292
2151969,602025,1398
2203048,506023,1402
2203048,508077,562
2203048,509381,1870
2218989,521973,1474
2279812,460274,1703
2279812,584638,967
2279812,586662,1746
2294678,475366,1452
2294678,478333,1132
2364342,544939,1583
2364342,547531,608
2458332,638972,1498
2458332,642151,878
2533048,563476,1354
2533048,716087,739
2533048,717158,1016
2589727,506854,1633
2637885,458562,1689
2637885,557261,742
2637885,559600,571
2668257,488932,1596
2668257,492768,875
2683965,472351,1390
2683965,506697,576
2705130,451316,1633
2705130,497458,1542
2780539,526715,1326
2780539,529043,812
2780539,530023,1024
2813979,560030,1428
2882336,628307,1603
2882336,630454,894
2882336,631469,853
2943021,566771,1530
2943021,693093,1806
2959321,583207,1588
2959321,585144,728
2979272,603121,1751
2979272,606403,1424
3023225,647028,1419
3023225,649063,583
3023225,651233,1661
3048421,621223,1541
3127903,700577,1427
3127903,702806,719
3127903,703650,1526
3192759,634752,1776
3192759,769725,1824
3240100,682519,1520
3240100,685035,761
3319557,761595,1825
3319557,766482,1195
3377943,820107,1707
3377943,822029,570
3377943,823189,815
3433304,764215,1069
3509472,840062,1763
3509472,842186,654
3509472,844354,775
3537749,811200,1520
3537749,871762,761
3611673,884946,1759
3611673,886781,507
3677194,950650,1250
3677194,955102,1047
3772239,1045381,1497
3772239,1048156,528
3772239,1050020,1691
3832161,984693,1473
3848025,968689,1677
3848025,1002461,971
3848025,1003718,685
3918867,1039559,1641
3918867,1043033,1889
3981167,1101854,1407
3981167,1104670,831
4034367,1047934,1365
4034367,1158627,761
4125099,1138718,1207
4125099,1140910,800
4125099,1142766,1183
4164369,1177906,1725
4192805,1148584,1556
4192805,1208200,602
4192805,1209368,1484
4211348,1167069,1648
4211348,1171749,1936
4278867,1098997,1425
4278867,1236593,670
4352869,1024990,1238
4352869,1176149,790
4413731,1085783,1485
4413731,1088070,647
4413731,1090027,1982
4451740,1123899,1491
4502252,1072389,1797
4502252,1176534,533
4502252,1178112,1918
4536716,1107225,1453
4536716,1111396,1444
4547774,1118400,1056
4547774,1120599,584
4610460,1180781,1678
4610460,1185039,1061
4702971,1087296,1757
4702971,1275733,933
4702971,1277083,848
4793740,1178049,1810
4877019,1261595,1296
4877019,1263625,512
4877019,1265797,1436
4973836,1358193,1715
4973836,1362400,1628
5014253,1317010,1554
5014253,1401485,569
5048824,1282421,1782
5048824,1355665,904
5068122,1262990,1538
5068122,1303724,726
5068122,1304873,610
5134811,1329759,1811
5180127,1375335,1566
5180127,1377243,961
5180127,1378856,1030
5246782,1441632,1670
5246782,1444818,712
5303971,1383489,1820
5303971,1500968,528
5363899,1323913,1347
5363899,1447527,1904
5423735,1383739,1189
5423735,1385361,546
5423735,1387152,1630
5478323,1438431,1012
5529297,1489393,1370
5529297,1491674,889
5529297,1492166,905
5609595,1408160,1737
5609595,1573247,992
5635861,1434378,1898
5635861,1436768,809
5710613,1358687,1760
5710613,1513645,1291
5723671,1371782,1493
5723671,1374367,583
5723671,1375896,1195
5742454,1390808,1412
5815916,1316617,1251
5815916,1465986,771
5815916,1467182,1666
5895761,1396600,1345
5895761,1400179,989
5958664,1332884,1384
5958664,1462013,998
5990688,1301160,1307
5990688,1369512,810
6018044,1328165,1846
6018044,1331027,673
6018044,1332814,699
6097708,1407821,1436
6132839,1442939,1732
6132839,1444889,663
6132839,1447707,1319
6202591,1372608,1437
6202591,1517322,1086
6295045,1279770,1956
6295045,1467351,521
6378139,1362904,1889
6378139,1366492,746
6401981,1387055,1550
6401981,1388670,631
6401981,1391359,1179
6431955,1417034,1452
6504369,1343904,1465
6504369,1491985,666
6504369,1492725,876
6537038,1376396,1456
6537038,1381267,967
6586094,1425839,1476
6586094,1427660,932
6674246,1336889,1719
6674246,1517369,1211
6760174,1422973,1427
6760174,1424979,648
6760174,1426626,1374
6770337,1411948,1564
6855240,1496899,1806
6855240,1499665,541
6855240,1500578,1450
6936866,1414592,1402
6936866,1582294,500
7016345,1493891,1641
7016345,1496272,921
7103627,1406067,1210
7103627,1585324,1065
7203554,1306015,1390
7203554,1508102,838
7203554,1509012,610
7242271,1267287,1203
7326672,1351803,1349
7326672,1353842,763
7326672,1355920,1648
7409671,1434438,1765
7409671,1439072,641
7430509,1455574,1216
7430509,1457482,931
7510973,1374451,1630
7510973,1539794,1625
7559512,1325695,1648
7559512,1425263,762
7559512,1426148,1919
7581544,1302540,2596
