32,100
83,36
69,91
58,95
32,23
93,95
65,53
27,82
51,33
5,92
31,83
27,81
62,63
87,35
71,31
4,76
64,65
87,28
22,24
68,58
51,50
71,80
32,54
86,97
71,32
20,75
24,75
25,6
59,52
13,6
94,0
4,4
83,72
99,14
26,12
26,98
71,6
1,55
26,67
20,62
73,34
0,23
54,15
12,25
75,59
8,31
15,50
69,75
84,16
19,48
60,80
70,20
100,10
31,74
81,8
65,83
63,49
53,13
24,3
3,41
59,19
61,26
83,56
45,27
57,39
58,10
88,28
71,87
50,20
12,39
72,98
84,83
5,28
25,18
49,30
56,96
22,82
87,1
77,43
11,74
97,79
18,35
67,39
79,52
64,10
90,83
97,99
16,48
10,0
59,64
4,31
98,99
80,66
78,81
83,83
77,73
29,1
62,14
9,25
11,50
